x_values,y_values
431.996826171875,107.20000457763672
431.9967956542969,107.20130157470703
431.9967956542969,107.2042236328125
431.9967956542969,107.20877838134766
431.9967956542969,107.2149658203125
431.9967956542969,107.2227783203125
431.9967956542969,107.23221588134766
431.9967956542969,107.24327087402344
431.9967956542969,107.25594329833984
431.9967956542969,107.27021026611328
431.9967956542969,107.28607177734375
431.9967956542969,107.30352783203125
431.9967956542969,107.32257843017578
431.9967956542969,107.34321594238281
431.9967956542969,107.36544036865234
431.9967956542969,107.3892593383789
431.9967956542969,107.41465759277344
431.9967956542969,107.44163513183594
431.9967956542969,107.47018432617188
431.9967956542969,107.50030517578125
431.9967956542969,107.53199768066406
431.9967956542969,107.56526184082031
431.9967956542969,107.60009765625
431.9967956542969,107.6364974975586
431.9967956542969,107.6744613647461
431.9967956542969,107.7139892578125
431.9967956542969,107.75508117675781
431.9967956542969,107.79773712158203
431.9967956542969,107.84195709228516
431.9967956542969,107.88774108886719
431.9967956542969,107.93508911132812
431.9967956542969,107.9840087890625
431.9967956542969,108.03449249267578
431.9967956542969,108.0865478515625
431.9967956542969,108.14017486572266
431.9967956542969,108.19537353515625
431.9974365234375,108.25213623046875
431.99884033203125,108.3104019165039
432.00103759765625,108.37012481689453
432.0039978027344,108.43122863769531
432.00775146484375,108.49361419677734
432.0116271972656,108.55731964111328
432.0155334472656,108.62236785888672
432.0194396972656,108.68876647949219
432.0234375,108.75651550292969
432.0275573730469,108.82560729980469
432.0318298339844,108.89605712890625
432.0362854003906,108.96785736083984
432.0409851074219,109.04102325439453
432.0459899902344,109.11553955078125
432.0513000488281,109.19140625
432.0570068359375,109.26862335205078
432.06317138671875,109.3471908569336
432.0697937011719,109.4271011352539
432.0769348144531,109.50835418701172
432.08465576171875,109.5909423828125
432.09295654296875,109.67485809326172
432.1019287109375,109.76010131835938
432.1116027832031,109.8466567993164
432.1220397949219,109.93451690673828
432.13323974609375,110.02366638183594
432.14532470703125,110.1141128540039
432.15826416015625,110.2058334350586
432.1721496582031,110.29882049560547
432.18701171875,110.3930435180664
432.20294189453125,110.48846435546875
432.219970703125,110.58506774902344
432.2381286621094,110.68281555175781
432.2574462890625,110.78168487548828
432.2779541015625,110.88166046142578
432.2997131347656,110.98271942138672
432.3227233886719,111.08483123779297
432.3470764160156,111.18798828125
432.3727722167969,111.29216766357422
432.3998718261719,111.39734649658203
432.42840576171875,111.50350952148438
432.4584045410156,111.61064147949219
432.4898986816406,111.7187271118164
432.5229797363281,111.82775115966797
432.5576171875,111.93769836425781
432.5939025878906,112.0485610961914
432.6318664550781,112.16033172607422
432.6715393066406,112.2729721069336
432.7127380371094,112.38652801513672
432.7543029785156,112.50139617919922
432.7969055175781,112.61734771728516
432.8409729003906,112.73424530029297
432.8865966796875,112.85204315185547
432.9338684082031,112.970703125
432.9829406738281,113.09019470214844
433.03363037109375,113.2109603881836
433.0863342285156,113.33293151855469
433.1409606933594,113.4557876586914
433.1979064941406,113.57953643798828
433.2571716308594,113.70415496826172
433.3187561035156,113.82964324951172
433.3826599121094,113.95587158203125
433.4486389160156,114.08308410644531
433.5165710449219,114.21134948730469
433.58642578125,114.3406982421875
433.658203125,114.47113037109375
433.73333740234375,114.60380554199219
433.8095397949219,114.7364501953125
433.8880920410156,114.86974334716797
433.97161865234375,115.00443267822266
434.0545959472656,115.13810729980469
434.13970947265625,115.27217864990234
434.2275695800781,115.40633392333984
434.3177795410156,115.54116821289062
434.41070556640625,115.67375946044922
434.50848388671875,115.80685424804688
434.6089782714844,115.94082641601562
434.71209716796875,116.07565307617188
434.8177795410156,116.21131896972656
434.9259948730469,116.34782409667969
435.03662109375,116.485107421875
435.1481628417969,116.62222290039062
435.26153564453125,116.75849914550781
435.37713623046875,116.89486694335938
435.5010070800781,117.03558349609375
435.62359619140625,117.17503356933594
435.7479248046875,117.31681823730469
435.8749694824219,117.46044158935547
436.00445556640625,117.60651397705078
436.1357727050781,117.75453186035156
436.2689514160156,117.9043960571289
436.4036560058594,118.0550537109375
436.5401306152344,118.20841217041016
436.6749267578125,118.36465454101562
436.8095397949219,118.52217864990234
436.9443664550781,118.68059539794922
437.07940673828125,118.83979797363281
437.2147521972656,118.99979400634766
437.3504638671875,119.16050720214844
437.4866027832031,119.3218765258789
437.62322998046875,119.48384857177734
437.76055908203125,119.64559936523438
437.8988037109375,119.80751037597656
438.03802490234375,119.96966552734375
438.177978515625,120.1318588256836
438.3186950683594,120.2940673828125
438.4602966308594,120.45655822753906
438.6031188964844,120.61944580078125
438.7471618652344,120.78279113769531
438.89251708984375,120.94669342041016
439.0390930175781,121.11113739013672
439.1866760253906,121.2761459350586
439.33538818359375,121.44168853759766
439.4853210449219,121.6077880859375
439.636474609375,121.77460479736328
439.7893981933594,121.94109344482422
439.94287109375,122.10990905761719
440.09808349609375,122.27984619140625
440.2549743652344,122.45194244384766
440.4134826660156,122.62605285644531
440.5735778808594,122.80208587646484
440.7342224121094,122.97919464111328
440.89678955078125,123.1583480834961
441.0613708496094,123.33976745605469
441.22747802734375,123.52265167236328
441.3943176269531,123.70719146728516
441.5621643066406,123.8931655883789
441.7306213378906,124.0806655883789
441.8996276855469,124.26958465576172
442.07000732421875,124.45919799804688
442.2418212890625,124.64952087402344
442.4142150878906,124.84099578857422
442.584716796875,125.0315933227539
442.5953369140625,125.16254425048828
442.6082763671875,125.30599212646484
442.62548828125,125.45308685302734
442.6443176269531,125.60555267333984
442.6634521484375,125.75697326660156
442.6828308105469,125.90283203125
442.7030944824219,126.03578186035156
442.7261962890625,126.16209411621094
442.7451171875,126.2776870727539
442.7677001953125,126.38935852050781
442.79119873046875,126.49846649169922
442.8149108886719,126.60707092285156
442.8385314941406,126.71807861328125
442.86328125,126.8307876586914
442.88739013671875,126.94398498535156
442.9110412597656,127.0556640625
442.93402099609375,127.1659164428711
442.9563903808594,127.2750015258789
442.9789733886719,127.38114166259766
443.0018310546875,127.48474884033203
443.0252990722656,127.58623504638672
443.0498046875,127.68619537353516
443.0751647949219,127.78348541259766
443.09771728515625,127.87706756591797
443.1222229003906,127.97140502929688
443.1478271484375,128.0659637451172
443.1742858886719,128.16136169433594
443.20269775390625,128.2623748779297
443.23089599609375,128.36502075195312
443.2578125,128.4692840576172
443.2839660644531,128.57411193847656
443.31158447265625,128.6807861328125
443.3358459472656,128.78744506835938
443.3570556640625,128.8943328857422
443.3772277832031,129.00225830078125
443.3978576660156,129.1116180419922
443.41802978515625,129.22195434570312
443.4381103515625,129.33348083496094
443.45794677734375,129.44618225097656
443.4774169921875,129.56004333496094
