x_values,y_values
421.0,107.20000457763672
421.0,107.20130157470705
421.0,107.2042236328125
421.0,107.20877838134766
421.0,107.2149658203125
421.0,107.2227783203125
421.0,107.23221588134766
421.0,107.24327087402344
421.0,107.25594329833984
421.0,107.27022552490234
421.0,107.28609466552734
421.0,107.30355834960938
421.0,107.3226089477539
421.0,107.34325408935548
421.0,107.3654556274414
421.0,107.38916778564452
421.0,107.414306640625
421.0,107.44075775146484
421.0,107.46839904785156
421.0,107.49728393554688
421.0,107.52742767333984
421.0,107.55883026123048
421.0,107.59149169921876
421.0,107.62541961669922
421.0,107.66060638427734
421.0,107.69705963134766
421.0,107.73477172851562
421.0,107.77375030517578
421.0,107.8141632080078
421.0,107.85608673095705
421.0,107.89957427978516
421.0,107.94465637207033
421.0,107.9913330078125
421.0,108.03958892822266
421.0,108.08941650390624
421.0,108.14081573486328
421.0,108.19379425048828
421.0,108.24834442138672
421.0,108.30448150634766
421.0,108.36219787597656
421.0,108.42149353027344
421.0,108.48236846923828
421.0,108.54483032226562
421.0,108.60887908935548
421.0,108.67450714111328
421.0,108.7417221069336
421.0,108.81053161621094
421.0,108.88092803955078
421.0,108.95291137695312
421.0,109.02648162841795
421.0,109.10163879394533
421.0,109.17837524414062
421.0,109.25669860839844
421.0,109.33660888671876
421.0,109.41810607910156
421.0,109.50118255615234
421.0,109.5858383178711
421.0,109.67208099365234
421.0,109.75989532470705
421.0,109.84928894042967
421.0,109.94025421142578
421.0,110.03278350830078
421.0,110.12689208984376
421.0,110.22256469726562
421.0,110.31981658935548
421.0,110.41854858398438
421.0,110.51870727539062
421.0,110.62022399902344
421.0,110.72301483154295
421.0,110.82699584960938
421.0,110.9322509765625
421.0,111.03878021240234
421.0,111.14656829833984
421.0,111.25560760498048
421.0,111.36589813232422
421.0,111.47743225097656
421.0,111.59020233154295
421.0,111.70420837402344
421.0,111.81945037841795
421.0,111.93592834472656
421.0,112.05365753173828
421.0,112.17262268066406
421.0,112.29283905029295
421.0,112.414306640625
421.0,112.53701782226562
421.0,112.66097259521484
421.0,112.78617095947266
421.0,112.9126205444336
421.0,113.0403823852539
421.0,113.16941833496094
421.0,113.29971313476562
421.0,113.43128204345705
421.0,113.56421661376952
